id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,pemilik_menara,lokasi_menara,long,lat,struktur_tower,tinggi_tower,keterangan,satuan,tahun
400,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,IBS,JL. SARI RASA BLOK 1 NO. 27,107.580135,-6.876419,4 KAKI,25,-,METER,2017
401,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,PROTELINDO,JL. CILANDAK,107.580709,-6.875633,3 KAKI,25,-,METER,2017
402,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,TELKOMSEL,JL. GEGER KALONG HILIR NO. 119,107.585664,-6.868708,POLE ROOFTOP,6,-,METER,2017
403,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,TOWER BERSAMA GROUP,JL. PAKGATOT RAYA NO. 80,107.586916,-6.864829,MONOPOLE,30,-,METER,2017
404,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,DAYA MITRA TELEKOMUNIKASI,JL. INTERDAN 77,107.586445,-6.866025,MINARET DI MASJID,32,-,METER,2017
405,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,NATRINDO TELEPON SELULER,JL. GEGER KALONG GIRANG,107.584433,-6.862132,MONOPOLE,30,-,METER,2017
406,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,XL AXIATA,JL. GEGER KALONG,107.589677,-6.863616,MICROCELL POLE,12,-,METER,2017
407,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,TELKOMSEL,JL. GEGER KALONG NO. 38,107.589907,-6.863903,POLE ROOFTOP,7,-,METER,2017
408,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,INDOSAT,JL. GEGER KALONG GIRANG,107.591326,-6.864494,POLE ROOFTOP,6,-,METER,2017
409,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,SMARTFREN,JL. GEGER KALONG RT 05/03,107.592823,-6.864739,POLE ROOFTOP,20,-,METER,2017
410,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,TELKOM,JL. GEGER KALONG HILIR NO.55,107.589282,-6.870194,4 KAKI,55,-,METER,2017
411,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,TELKOMSEL,JL. CIPEDES ATAS RT 03/07,107.59091,-6.874704,MONOPOLE,25,-,METER,2017
412,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,OZ RADIO 103.1 FM,JL. SETRA JATI 11 NO. 14 BANDUNG,107.587901,-6.875838,4 KAKI,42,-,METER,2017
413,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,IBS,JL. SETIA BUDI,107.592628,-6.866141,POLE ROOFTOP,6,-,METER,2017
