quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,lat,lon,year,quarter
1322231101023132,10571,11505,44,39,11,5.468363749680846,100.272216796875,2019,1
1322231101023133,10228,9474,49,63,36,5.468363749680846,100.2777099609375,2019,1
1322231101023310,1918,9494,39,4,3,5.462895560209552,100.272216796875,2019,1
1322231101023311,11683,6552,50,32,15,5.462895560209552,100.2777099609375,2019,1
1322231101023313,24569,6643,47,54,15,5.4574273208282635,100.2777099609375,2019,1
1322231101032022,28676,14752,40,38,24,5.468363749680846,100.283203125,2019,1
1322231101032023,14986,7474,48,34,31,5.468363749680846,100.2886962890625,2019,1
1322231101032032,25734,13971,109,4,4,5.468363749680846,100.294189453125,2019,1
1322231101032033,12315,5304,36,13,11,5.468363749680846,100.2996826171875,2019,1
1322231101032122,10401,10219,39,10,8,5.468363749680846,100.30517578125,2019,1
1322231101032200,11986,7141,47,29,16,5.462895560209552,100.283203125,2019,1
1322231101032201,21731,6101,49,15,8,5.462895560209552,100.2886962890625,2019,1
1322231101032202,13838,6722,65,36,16,5.4574273208282635,100.283203125,2019,1
1322231101032203,17895,6711,61,21,13,5.4574273208282635,100.2886962890625,2019,1
1322231101032210,6221,7133,57,15,3,5.462895560209552,100.294189453125,2019,1
1322231101032211,31250,12682,40,35,20,5.462895560209552,100.2996826171875,2019,1
1322231101032212,18849,6375,65,10,6,5.4574273208282635,100.294189453125,2019,1
1322231101032213,14982,7781,50,33,23,5.4574273208282635,100.2996826171875,2019,1
1322231101032220,13496,13129,41,17,6,5.451959031586334,100.283203125,2019,1
1322231101032221,10799,2583,60,6,3,5.451959031586334,100.2886962890625,2019,1
1322231101032230,25598,7854,42,59,23,5.451959031586334,100.294189453125,2019,1
1322231101032231,30266,14549,40,70,46,5.451959031586334,100.2996826171875,2019,1
1322231101032232,5618,860,32,2,2,5.446490692533115,100.294189453125,2019,1
1322231101032233,25699,7767,40,10,9,5.446490692533115,100.2996826171875,2019,1
1322231101032300,14350,10197,50,112,58,5.462895560209552,100.30517578125,2019,1
1322231101032301,20382,10465,42,49,35,5.462895560209552,100.3106689453125,2019,1
1322231101032302,13860,10928,44,81,47,5.4574273208282635,100.30517578125,2019,1
1322231101032303,15721,6423,37,26,15,5.4574273208282635,100.3106689453125,2019,1
1322231101032320,18191,12377,44,120,76,5.451959031586334,100.30517578125,2019,1
1322231101032321,8206,7581,39,2,2,5.451959031586334,100.3106689453125,2019,1
